listing_id,room_type,latitude,longitude,host_type,host_id,host_name,unique_id
6.86133E+17,Entire home/apt,40.72411,-73.9906,primary,356470759,Matt,1
37240374,Private room,40.86237,-73.85278,co,224815152,Hudson River,2
28964081,Entire home/apt,40.74351,-73.9974,primary,216586866,Joseph,3
53660977,Private room,40.64366,-73.98159,co,345709132,Lakhwinder,4
50753481,Private room,40.69048,-73.93277,co,356470759,Matt,5
27700366,Entire home/apt,40.74465,-73.97783,primary,356470759,Matt,6
39987747,Entire home/apt,40.72755,-73.95474,primary,14561160,Daniel,7
7141549,Private room,40.74196,-73.97985,co,224815152,Hudson River,8
16417951,Private room,40.67357,-73.9334,co,132174119,Jessica-Véronique,9
31172569,Entire home/apt,40.67994,-73.93139,primary,224126362,Nikki Jo,10
1.00237E+18,Private room,40.6937026,-73.80697661,primary,345709132,Lakhwinder,11
41267118,Private room,40.70631,-73.92956,co,356470759,Matt,12
8.83405E+17,Private room,40.68580823,-73.79015177,co,356470759,Matt,13
39563416,Private room,40.69082,-73.86348,primary,34457315,José,14
26352096,Private room,40.7392,-73.87449,primary,115424426,Taylor,15
41974087,Entire home/apt,40.67559,-73.90799,primary,255476834,Tiffany,16
53262764,Private room,40.7642,-73.87757,co,356470759,Matt,17
1.00028E+18,Private room,40.67796428,-73.91822935,co,356470759,Matt,18
44375835,Private room,40.67525,-73.95403,primary,345709132,Lakhwinder,19
48381921,Private room,40.74267,-73.90295,primary,390535864,Fukuda,20
27854483,Entire home/apt,40.73325,-73.87611,primary,5130514,Yana,21
34748026,Private room,40.71964,-73.9585,primary,190828985,Francis,22
37423528,Private room,40.75611,-73.99275,primary,224815152,Hudson River,23
7.50956E+17,Private room,40.6856,-73.96503,co,38837666,Heidi,24
14058251,Private room,40.65444,-73.96171,co,6080024,Jessica,25
15282411,Private room,40.74796,-73.99514,co,2764783,Jenny,26
28102752,Private room,40.69583,-73.92958,primary,14909147,Spencer,27
52534281,Private room,40.75092,-73.99803,primary,271391063,Bryan,28
37990112,Entire home/apt,40.76667,-73.9342,primary,69503147,Alexandre,29
27131400,Entire home/apt,40.79125,-73.97329,primary,271391063,Bryan,30
35570396,Private room,40.81273,-73.94415,primary,2764783,Jenny,31
36076577,Entire home/apt,40.76884,-73.9572,primary,271391063,Bryan,32
8.39607E+17,Private room,40.7532239,-73.89260988,co,130975532,Monisha,33
29513249,Entire home/apt,40.82126,-73.95265,primary,2764783,Nikia,34
8.42777E+17,Private room,40.67907,-74.01098,co,23163166,Alice,35
45175969,Private room,40.64359,-73.98116,co,363928053,Chida,36
31898478,Private room,40.68642,-73.91283,primary,3734323,Colin,37
5.51666E+17,Private room,40.67689,-73.75205,co,289972882,Lakhwinder,38
